entity_id,name,ticker,sec_cik
1,Walmart,WMT,104169
2,ExxonMobil,XOM,34088
3,"Chevron Corporation",CVX,93410
4,"General Motors Company",GM,1467858
5,ConocoPhillips,COP,1163165
6,"General Electric",GE,40545
7,"Ford Motor",F,37996
8,"Citigroup Inc.",C,831001
9,"Bank of America",BAC,70858
10,"AT&T, Inc.",T,732717
11,"Berkshire Hathaway Inc.",BRKA,1067983
12,"JPMorgan Chase",JPM,19617
13,AIG,AIG,5272
14,Hewlett-Packard,HPQ,47217
15,IBM,IBM,51143
16,"Valero Energy Corporation",VLO,1035002
17,Verizon,VZ,732712
18,McKesson,MCK,927653
19,"Cardinal Health, Inc.",CAH,721371
20,"Goldman Sachs",GS,886982
21,"Morgan Stanley",MS,895421
22,"The Home Depot, Inc.",HD,354950
23,"The Procter & Gamble Company",PG,80424
24,"CVS Caremark",CVS,64803
25,"UnitedHealth Group, Inc.",UNH,731766
26,"The Kroger Co.",KR,56873
27,"The Boeing Company",BA,12927
28,AmerisourceBergen,ABC,1140859
29,"Costco Wholesale Corporation",COST,909832
30,"Merrill Lynch",MER,65100
31,"Target Corporation",TGT,27419
33,"WellPoint, Inc.",WLP,1156039
34,"Dell Inc",DELL,826083
35,"Johnson & Johnson",JNJ,200406
36,"Marathon Oil Corporation",MRO,101778
37,"Lehman Brothers",LEH,NULL
38,"Wachovia Corporation",WB,36995
39,"United Technologies Corporation",UTX,101829
40,"Walgreen Co.",WAG,104207
41,"Wells Fargo",WFC,72971
42,"Dow Chemical",DOW,29915
43,MetLife,MET,1099219
44,"Microsoft Corporation",MSFT,789019
46,"Sears Holdings Corporation",SHLD,1310067
47,"United Parcel Service, Inc.",UPS,1090727
48,"Pfizer Inc.",PFE,78003
49,Lowe's,LOW,60667
50,"Time Warner Inc.",TWX,1105705
51,"Caterpillar, Inc.",CAT,18230
52,"Medco Health Solutions",MHS,1170650
53,"Archer Daniels Midland",ADM,7084
54,"Fannie Mae",FNM,310522
55,"Freddie Mac",FRE,1026214
56,Safeway,SWY,86144
57,"Sunoco, Inc.",SUN,95304
58,"Lockheed Martin Corporation",LMT,936468
59,"Sprint Nextel",S,101830
60,"PepsiCo, Inc.",PEP,77476
61,"Intel Corporation",INTC,50863
62,"Altria Group, Inc.",MO,764180
63,Supervalu,SVU,95521
64,"Mondelēz International, Inc.",KFT,1103982
65,"The Allstate Corporation",ALL,899051
66,Motorola,MOT,68505
67,"Best Buy Co, Inc.",BBY,764478
68,"The Walt Disney Company",DIS,1001039
69,"Federal Express Corporation",FDX,1048911
70,"Ingram Micro",IM,1018003
71,Sysco,SYY,96021
72,"Cisco Systems, Inc.",CSCO,858877
73,"Johnson Controls",JCI,53669
74,"Honeywell International Inc.",HON,773840
75,"Prudential Financial",PRU,1137774
76,"American Express Company",AXP,4962
77,"Northrop Grumman Corporation",NOC,1133421
78,"Hess Corporation",HES,4447
79,"Ally Financial Inc.",GJM,40729
80,"Comcast Corporation",CMCSA,1166691
81,"ALCOA INC",AA,4281
82,DuPont,DD,30554
84,"The Coca-Cola Company",KO,21344
85,"News Corporation",NWS,1308161
86,"Aetna Inc.",AET,1122304
88,"General Dynamics",GD,40533
89,"Tyson Foods",TSN,100493
91,"Enterprise GP Holdings",EPE,1324592
92,Macy's,M,794367
94,"The Travelers Companies, Inc.",TRV,86312
96,"The Hartford Financial Services Group, Inc.",HIG,874766
97,"Abbott Laboratories",ABT,1800
98,"Washington Mutual",WM,823768
99,"Humana Inc.",HUM,49071
101,"3M Company",MMM,66740
